member_id,city,age,gender,membership_duration_months,membership_type,monthly_visits,avg_session_minutes,monthly_active_minutes,bmi,membership_renewed
CUST-000000,Skopje,20.0,Female,34.0,Quarterly,,88.0,365.0,Overweight,1
CUST-000001,Veles,30.0,Female,21.0,Annually,10.0,,535.0,Normal,1
CUST-000002,,25.0,Male,1.0,Annually,9.0,65.0,,Normal,1
CUST-000003,Prilep,23.0,Male,19.0,Quarterly,11.0,,359.0,Overweight,1
CUST-000004,,24.0,Female,23.0,Monthly,5.0,72.0,348.0,Overweight,0
CUST-000005,Veles,26.0,Male,31.0,Quarterly,,77.0,617.0,Normal,1
CUST-000006,Skopje,28.0,Female,15.0,Monthly,5.0,44.0,168.0,Normal,1
CUST-000007,Kumanovo,19.0,Female,29.0,Monthly,7.0,52.0,336.0,Normal,1
CUST-000008,Bitola,18.0,Male,22.0,Monthly,5.0,,293.0,Normal,1
CUST-000009,Skopje,31.0,Female,4.0,Monthly,5.0,60.0,410.0,Normal,1
CUST-000010,Tetovo,22.0,Female,3.0,Monthly,,66.0,186.0,Overweight,1
CUST-000011,Stip,18.0,Male,,Quarterly,6.0,55.0,297.0,Normal,1
CUST-000012,Kumanovo,27.0,Female,,Monthly,10.0,87.0,,Overweight,1
CUST-000013,Veles,27.0,Female,23.0,Monthly,5.0,,190.0,Normal,0
CUST-000014,Kumanovo,18.0,Male,37.0,Monthly,6.0,100.0,,Normal,1
CUST-000015,Veles,26.0,Female,32.0,Quarterly,4.0,78.0,343.0,Normal,1
CUST-000016,Tetovo,29.0,Male,,Quarterly,5.0,72.0,320.0,Overweight,1
CUST-000017,Bitola,27.0,Female,9.0,Monthly,,44.0,,Overweight,1
CUST-000018,Veles,,Female,40.0,Monthly,,73.0,768.0,Normal,1
CUST-000019,Prilep,18.0,Female,26.0,Annually,7.0,69.0,644.0,Normal,1
CUST-000020,Tetovo,,,15.0,Quarterly,7.0,30.0,,Obese,0
CUST-000021,Ohrid,23.0,,11.0,Monthly,10.0,38.0,473.0,Normal,1
CUST-000022,Bitola,22.0,Male,23.0,Quarterly,8.0,65.0,626.0,Overweight,1
CUST-000023,Stip,30.0,Male,1.0,Annually,6.0,58.0,480.0,Normal,1
CUST-000024,Veles,33.0,Male,28.0,Annually,7.0,52.0,,Normal,1
CUST-000025,Kumanovo,35.0,Female,8.0,Monthly,7.0,76.0,479.0,Overweight,1
CUST-000026,Prilep,32.0,Male,24.0,Quarterly,5.0,46.0,340.0,Overweight,0
CUST-000027,Veles,24.0,Male,13.0,Monthly,4.0,53.0,,Normal,0
CUST-000028,Tetovo,27.0,Female,16.0,Quarterly,,50.0,338.0,,0
CUST-000029,Prilep,29.0,Male,10.0,Monthly,7.0,67.0,408.0,Overweight,1
CUST-000030,Prilep,25.0,Male,18.0,Monthly,5.0,34.0,,,1
CUST-000031,Bitola,25.0,Male,42.0,Monthly,3.0,52.0,,Normal,0
CUST-000032,,29.0,Male,36.0,Annually,8.0,34.0,186.0,,1
CUST-000033,Tetovo,24.0,Female,,Monthly,2.0,55.0,,Overweight,0
CUST-000034,Stip,20.0,Male,19.0,Annually,5.0,70.0,,Overweight,1
CUST-000035,Skopje,22.0,Male,,Monthly,9.0,71.0,702.0,,1
CUST-000036,Veles,28.0,Female,33.0,Quarterly,,49.0,,Normal,1
CUST-000037,Veles,25.0,Female,10.0,Annually,6.0,67.0,436.0,Normal,1
CUST-000038,Ohrid,27.0,Female,,Monthly,6.0,57.0,370.0,,0
CUST-000039,Kumanovo,29.0,Female,1.0,Quarterly,4.0,80.0,307.0,Overweight,1
CUST-000040,Bitola,22.0,Female,33.0,Quarterly,12.0,58.0,755.0,Overweight,1
CUST-000041,Veles,29.0,Male,44.0,Monthly,7.0,30.0,237.0,,1
CUST-000042,Kumanovo,27.0,Female,20.0,Monthly,9.0,73.0,,,1
CUST-000043,,,Female,1.0,Monthly,3.0,53.0,57.0,Normal,0
CUST-000044,,33.0,Male,27.0,Quarterly,7.0,55.0,416.0,Normal,1
