student_id,city,age,gender,platform_usage_months,subscription_plan,monthly_logins,avg_study_session_minutes,monthly_study_minutes,engagement_level,subscription_renewed
STUDENT-000000,Skopje,20.0,Female,34.0,Quarterly,,88.0,365.0,High,1
STUDENT-000001,Veles,30.0,Female,21.0,Annually,10.0,,535.0,Moderate,1
STUDENT-000002,,25.0,Male,1.0,Annually,9.0,65.0,,Moderate,1
STUDENT-000003,Prilep,23.0,Male,19.0,Quarterly,11.0,,359.0,High,1
STUDENT-000004,,24.0,Female,23.0,Monthly,5.0,72.0,348.0,High,0
STUDENT-000005,Veles,26.0,Male,31.0,Quarterly,,77.0,617.0,Moderate,1
STUDENT-000006,Skopje,28.0,Female,15.0,Monthly,5.0,44.0,168.0,Moderate,1
STUDENT-000007,Kumanovo,19.0,Female,29.0,Monthly,7.0,52.0,336.0,Moderate,1
STUDENT-000008,Bitola,18.0,Male,22.0,Monthly,5.0,,293.0,Moderate,1
STUDENT-000009,Skopje,31.0,Female,4.0,Monthly,5.0,60.0,410.0,Moderate,1
STUDENT-000010,Tetovo,22.0,Female,3.0,Monthly,,66.0,186.0,High,1
STUDENT-000011,Stip,18.0,Male,,Quarterly,6.0,55.0,297.0,Moderate,1
STUDENT-000012,Kumanovo,27.0,Female,,Monthly,10.0,87.0,,High,1
STUDENT-000013,Veles,27.0,Female,23.0,Monthly,5.0,,190.0,Moderate,0
STUDENT-000014,Kumanovo,18.0,Male,37.0,Monthly,6.0,100.0,,Moderate,1
STUDENT-000015,Veles,26.0,Female,32.0,Quarterly,4.0,78.0,343.0,Moderate,1
STUDENT-000016,Tetovo,29.0,Male,,Quarterly,5.0,72.0,320.0,High,1
STUDENT-000017,Bitola,27.0,Female,9.0,Monthly,,44.0,,High,1
STUDENT-000018,Veles,,Female,40.0,Monthly,,73.0,768.0,Moderate,1
STUDENT-000019,Prilep,18.0,Female,26.0,Annually,7.0,69.0,644.0,Moderate,1
STUDENT-000020,Tetovo,,,15.0,Quarterly,7.0,30.0,,Very High,0
STUDENT-000021,Ohrid,23.0,,11.0,Monthly,10.0,38.0,473.0,Moderate,1
STUDENT-000022,Bitola,22.0,Male,23.0,Quarterly,8.0,65.0,626.0,High,1
STUDENT-000023,Stip,30.0,Male,1.0,Annually,6.0,58.0,480.0,Moderate,1
STUDENT-000024,Veles,33.0,Male,28.0,Annually,7.0,52.0,,Moderate,1
STUDENT-000025,Kumanovo,35.0,Female,8.0,Monthly,7.0,76.0,479.0,High,1
STUDENT-000026,Prilep,32.0,Male,24.0,Quarterly,5.0,46.0,340.0,High,0
STUDENT-000027,Veles,24.0,Male,13.0,Monthly,4.0,53.0,,Moderate,0
STUDENT-000028,Tetovo,27.0,Female,16.0,Quarterly,,50.0,338.0,,0
STUDENT-000029,Prilep,29.0,Male,10.0,Monthly,7.0,67.0,408.0,High,1
STUDENT-000030,Prilep,25.0,Male,18.0,Monthly,5.0,34.0,,,1
STUDENT-000031,Bitola,25.0,Male,42.0,Monthly,3.0,52.0,,Moderate,0
STUDENT-000032,,29.0,Male,36.0,Annually,8.0,34.0,186.0,,1
STUDENT-000033,Tetovo,24.0,Female,,Monthly,2.0,55.0,,High,0
STUDENT-000034,Stip,20.0,Male,19.0,Annually,5.0,70.0,,High,1
STUDENT-000035,Skopje,22.0,Male,,Monthly,9.0,71.0,702.0,,1
STUDENT-000036,Veles,28.0,Female,33.0,Quarterly,,49.0,,Moderate,1
STUDENT-000037,Veles,25.0,Female,10.0,Annually,6.0,67.0,436.0,Moderate,1
STUDENT-000038,Ohrid,27.0,Female,,Monthly,6.0,57.0,370.0,,0
STUDENT-000039,Kumanovo,29.0,Female,1.0,Quarterly,4.0,80.0,307.0,High,1
STUDENT-000040,Bitola,22.0,Female,33.0,Quarterly,12.0,58.0,755.0,High,1
STUDENT-000041,Veles,29.0,Male,44.0,Monthly,7.0,30.0,237.0,,1
STUDENT-000042,Kumanovo,27.0,Female,20.0,Monthly,9.0,73.0,,,1
STUDENT-000043,,,Female,1.0,Monthly,3.0,53.0,57.0,Moderate,0
STUDENT-000044,,33.0,Male,27.0,Quarterly,7.0,55.0,416.0,Moderate,1
STUDENT-000045,Stip,21.0,,9.0,Monthly,7.0,65.0,379.0,Moderate,1
STUDENT-000046,Prilep,18.0,Male,12.0,Monthly,8.0,38.0,326.0,,0
STUDENT-000047,Stip,18.0,Female,27.0,Quarterly,6.0,61.0,370.0,Moderate,1
STUDENT-000048,Kumanovo,18.0,Female,23.0,Monthly,4.0,68.0,190.0,,0
